id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
49,17,male,diploma,4.47,78.9,yes,8.9,average,self-study,medium,moderate,69.2
50,17,other,b.sc,2.19,44.1,yes,5.3,poor,group study,low,moderate,22.7
51,23,female,b.tech,5.83,86.9,yes,5.9,average,coaching,low,moderate,75.5
52,21,female,bba,6.66,85.4,yes,5.5,poor,coaching,high,hard,100
53,18,female,b.sc,0.44,95.5,yes,7.7,average,online videos,low,moderate,36.9
54,21,male,b.com,4.66,90.9,yes,4.2,poor,self-study,low,moderate,66
55,23,female,b.sc,6.76,95.5,no,6.2,good,mixed,low,moderate,100
56,18,other,bca,7.91,68.2,yes,5.4,good,group study,low,moderate,70.9
57,17,male,ba,2.05,43.8,yes,9.8,good,self-study,low,moderate,51.4
58,24,female,b.tech,0.39,43.7,yes,6,average,online videos,medium,hard,25.9
59,24,female,bca,0.6,94.1,yes,8.4,good,online videos,high,moderate,44.2
60,23,other,b.tech,0.08,70.2,yes,4.1,good,group study,high,moderate,29.1
61,22,female,b.tech,0.93,72,yes,6.7,good,group study,medium,easy,46
62,23,female,b.sc,4.78,96,yes,4.6,good,coaching,high,easy,98.2
63,20,other,b.tech,1.54,57.4,yes,6.2,poor,self-study,medium,moderate,37.3
64,18,female,b.com,1.65,61,yes,6.6,poor,self-study,high,easy,41.7
65,24,male,bca,7.91,73.3,yes,6.6,poor,coaching,low,easy,100
66,24,female,bba,1.29,45.2,yes,4.4,poor,mixed,medium,easy,31.9
67,20,female,b.tech,5.71,82.5,yes,8,good,group study,medium,moderate,89.9
68,19,male,b.sc,1.34,54.8,yes,4.6,poor,mixed,high,moderate,41.5
69,17,male,b.tech,4.12,50.3,yes,8.4,good,coaching,medium,moderate,69.5
70,24,other,b.com,3.2,69.4,yes,6.7,good,coaching,medium,moderate,57.2
71,21,other,b.com,4.23,80.6,yes,4.8,poor,coaching,medium,moderate,66.7
72,24,female,b.sc,3.85,68.8,yes,4.9,good,mixed,medium,moderate,76.5
73,22,female,diploma,4,68.6,yes,9.1,poor,mixed,high,hard,64.3
74,21,other,b.tech,3.64,90,yes,6.9,good,online videos,high,easy,71.9
75,19,other,diploma,4.88,53.2,yes,7.6,good,coaching,high,easy,87.7
76,17,other,b.tech,0.55,51.1,yes,9.4,average,coaching,high,moderate,44.3
77,17,other,bca,5.71,89,yes,7.3,good,online videos,medium,moderate,73.7
78,18,female,ba,4.06,86.5,yes,8.8,good,online videos,medium,moderate,74.8
79,22,male,b.com,0.96,68.9,yes,9.4,average,group study,medium,moderate,38.4
80,23,other,b.sc,7.91,57.8,yes,5.8,good,coaching,low,easy,92.3
81,23,female,b.tech,3.07,44,yes,7.9,average,self-study,low,easy,52.8
82,18,other,b.com,5.37,48,yes,8.4,good,online videos,medium,moderate,64.7
83,20,male,bca,1.59,49.2,yes,5.8,good,coaching,medium,moderate,57.5
84,21,other,b.tech,7.44,67.5,yes,5.7,poor,self-study,medium,moderate,73.6
85,17,other,b.tech,6.88,99.4,yes,9.9,good,self-study,low,moderate,92.1
86,18,female,b.com,4.53,52.7,yes,6.4,good,online videos,high,easy,68
87,24,female,b.com,6.76,75.1,yes,9.9,good,online videos,high,easy,84.8
88,21,other,b.tech,6.53,78.4,yes,5.8,poor,mixed,medium,hard,93.2
89,18,female,b.com,4,68.5,yes,8.4,poor,self-study,high,easy,44
90,21,other,b.sc,4.77,94.6,yes,7.6,poor,group study,high,moderate,79.1
91,18,female,b.com,1.81,61.3,yes,9,average,online videos,medium,easy,41.3
92,18,male,b.sc,6.05,77.3,yes,4.1,poor,group study,medium,moderate,70.6
93,24,other,b.sc,4.4,70.5,yes,4.6,average,self-study,medium,easy,74.4
94,21,male,b.sc,5.64,89.9,yes,9.6,average,online videos,high,easy,85.8
95,23,other,b.tech,0.36,54.4,no,4.2,average,group study,high,moderate,21.1
96,20,male,b.sc,7.69,57.1,yes,4.2,poor,online videos,low,easy,60.7
97,23,male,diploma,5.15,53.4,yes,6.4,good,coaching,medium,moderate,65.9
98,17,other,b.com,5.81,62.9,yes,5.7,poor,coaching,medium,moderate,76
99,22,female,b.com,1.81,41.8,yes,6.3,good,self-study,low,easy,39.9
100,21,other,b.sc,7.03,59.8,yes,4.3,average,self-study,medium,easy,81.9
101,21,male,b.tech,5.93,58.3,yes,6.9,average,mixed,medium,easy,76.4
102,18,male,b.sc,1.86,80.5,yes,9,average,group study,low,moderate,51.6
103,20,other,b.tech,2.33,46.3,yes,4.1,poor,group study,low,moderate,34.5
104,24,male,b.sc,2.69,62.7,yes,6.3,average,mixed,medium,hard,29.6
105,21,male,b.tech,4.87,64.6,yes,8.4,poor,online videos,high,hard,46.8
106,17,male,b.com,1.27,64.7,no,9.8,poor,self-study,medium,easy,54.2
107,23,female,b.sc,5.76,49.1,yes,8.2,good,coaching,medium,moderate,63.9
108,18,female,diploma,7.45,53.8,yes,6.3,average,mixed,low,moderate,62.9
109,22,male,b.com,3.38,96.3,yes,5.4,average,group study,low,moderate,63.7
110,23,female,bca,6.38,67.1,yes,4.9,average,online videos,high,easy,68.4
111,23,female,bca,2.36,41.7,yes,5.3,poor,online videos,low,moderate,19.599
112,22,male,b.tech,0.28,81.1,yes,5.2,average,mixed,low,easy,28.1
113,21,male,b.tech,4.84,77.5,yes,6.5,good,self-study,low,moderate,55.7
114,23,male,b.tech,5.53,84.7,yes,7.5,average,online videos,medium,moderate,58.1
115,22,other,b.com,3.44,49.9,yes,5.1,good,online videos,low,easy,60.6
116,18,male,bca,7.86,59.8,yes,6.5,average,mixed,medium,easy,81.3
117,22,other,bca,1.98,77.6,yes,8.4,average,online videos,high,moderate,46
118,17,female,ba,0.98,86.4,yes,6.7,good,self-study,medium,moderate,37.7
119,20,female,b.com,5.49,72,yes,6.5,poor,coaching,medium,easy,62.4
120,19,other,bba,5.01,93.6,yes,7.9,average,mixed,low,moderate,83
121,24,female,b.com,4.11,53,yes,4.5,poor,coaching,medium,easy,53.5
122,20,other,b.tech,2.08,52.8,yes,5.9,poor,mixed,medium,moderate,42.7
123,22,other,b.tech,4.57,74,yes,5.4,average,self-study,low,easy,61.5
124,17,other,b.sc,6.35,74.1,no,7.6,poor,mixed,medium,easy,77.5
125,24,other,b.tech,4.27,72.6,yes,7.1,good,mixed,high,easy,77
126,17,male,b.com,5.77,53.9,yes,4.2,average,coaching,medium,moderate,65.1
127,23,female,bca,3.03,49.2,yes,5.8,good,online videos,low,hard,60.2
128,21,other,b.com,1.47,87.4,yes,9.5,poor,group study,medium,easy,55
129,20,female,bba,1.79,57,yes,9.5,average,group study,high,easy,51.4
130,19,male,bca,2.03,90.1,yes,4.6,good,coaching,low,easy,66
131,22,other,b.sc,1.64,55.7,yes,6.3,poor,coaching,high,easy,34.6
132,24,female,b.sc,2.97,51.2,yes,7.2,average,self-study,high,easy,49.3
133,18,female,b.tech,2.85,81.8,yes,9.3,good,mixed,low,easy,46.7
134,17,male,b.tech,1.69,61.4,yes,5.3,average,online videos,low,easy,42.6
135,17,other,diploma,4.44,91.2,yes,6.6,poor,mixed,high,hard,77.3
136,22,other,b.tech,3.21,97.6,yes,4.9,good,mixed,high,easy,73.3
137,19,other,b.com,1.62,76.2,no,5.6,good,mixed,high,easy,55.2
138,23,other,b.sc,7.51,82.9,no,4.8,good,self-study,medium,moderate,100
139,23,other,b.tech,6.11,95.6,yes,4.5,good,group study,medium,easy,81
140,20,female,bba,5.19,41.9,no,5.7,good,mixed,low,easy,73.5
141,22,male,bca,0.97,74.3,yes,6.2,poor,online videos,medium,easy,32.9
142,23,male,bba,4.69,83.3,yes,7.8,poor,coaching,medium,easy,67.8
143,17,female,bba,3.85,46.3,yes,6.1,poor,online videos,medium,moderate,46.5
144,17,other,bca,7.57,98.3,yes,4.9,average,online videos,medium,moderate,79.5
145,17,female,diploma,7.85,44.2,yes,6.2,average,self-study,medium,easy,69.3
146,17,female,b.sc,2.67,61,yes,7.6,good,mixed,medium,moderate,50
147,21,male,diploma,6.92,70.7,yes,7.5,good,online videos,high,moderate,93.5
148,18,female,bba,0.1,75.9,yes,7.1,poor,mixed,low,moderate,51.6
149,19,female,diploma,1.88,55.5,yes,7.7,poor,coaching,low,easy,47
150,23,other,b.tech,2.17,55,yes,5.9,poor,mixed,low,easy,34
151,17,female,diploma,0.08,57.2,no,4.2,average,online videos,medium,hard,19.599
152,21,male,b.tech,2.82,42.5,yes,5.4,good,mixed,low,hard,55.1
153,20,other,diploma,6.62,55.9,yes,6,average,coaching,high,moderate,74.2
154,24,other,b.com,5.4,92.4,yes,5.2,poor,mixed,low,easy,56.3
155,18,other,b.tech,5,83,yes,5.1,poor,mixed,high,easy,66.7
156,20,female,ba,1.57,42.2,yes,7.8,poor,self-study,medium,moderate,30.9
157,19,male,b.tech,1.05,99.4,yes,9.9,good,mixed,high,moderate,69.1
158,22,female,ba,2.24,47.2,yes,5.1,good,mixed,low,moderate,44.7
159,20,other,b.sc,7.62,96,yes,7,average,online videos,low,easy,79.2
160,17,other,b.tech,2.62,51.2,yes,9.9,good,self-study,high,moderate,49
161,20,other,b.tech,0.67,92.2,no,5.3,good,self-study,medium,moderate,54.8
162,22,other,b.tech,3.25,86.2,yes,6.2,good,self-study,low,moderate,57
163,17,other,b.tech,0.37,71.1,yes,5.4,poor,online videos,low,moderate,20.8
164,17,female,ba,3.54,49,yes,5.7,poor,self-study,low,moderate,37
165,24,female,b.com,4.76,86.9,yes,5.7,average,self-study,low,moderate,61.4
166,18,female,b.com,1.79,91.6,yes,6.1,poor,coaching,high,easy,55
167,17,other,b.tech,7.41,84.2,no,6.1,good,coaching,high,moderate,100
168,23,female,b.com,5.01,51.4,yes,4.8,good,online videos,high,hard,60.2
169,18,other,b.tech,3.75,91.8,yes,8.9,good,online videos,high,moderate,88.8
170,17,female,ba,5.61,94,yes,7.7,good,coaching,high,moderate,100
171,21,male,b.tech,2.81,52.4,no,8.8,poor,mixed,medium,moderate,45.7
172,24,male,bca,6.1,93.1,yes,7.1,average,self-study,medium,moderate,81.9
173,17,other,b.tech,6.69,85.4,yes,6.3,average,self-study,low,hard,91.3
174,20,male,b.com,7.11,95.7,yes,6.8,average,coaching,high,moderate,79.1
175,22,female,bba,0.25,59.7,yes,9,good,mixed,medium,moderate,41.7
176,24,female,bba,4.36,98,yes,8.4,average,mixed,low,easy,73.9
177,21,male,b.sc,0.61,87.9,yes,7.4,good,group study,high,moderate,47.8
178,20,male,b.sc,6.92,93.9,yes,8.4,poor,mixed,low,moderate,81.7
179,17,female,b.tech,1.01,81.1,yes,7.2,average,online videos,low,easy,59.6
180,19,other,b.com,2.36,99,yes,4.1,good,mixed,medium,hard,66.3
181,21,male,diploma,7.71,99.4,yes,8.8,good,coaching,high,moderate,100
182,24,male,b.sc,0.74,51.7,yes,6.6,poor,mixed,low,moderate,48.5
183,17,female,bba,4.29,42.6,yes,6.3,average,online videos,medium,moderate,52.4
184,21,male,b.com,2.21,64.3,yes,7.5,poor,self-study,low,moderate,41.6
185,18,male,bca,3.06,93.2,yes,6.2,good,coaching,medium,moderate,79.7
186,18,male,b.tech,4.17,77,yes,9.5,good,online videos,low,easy,80.3
187,18,other,b.sc,2.57,99.1,yes,9.6,good,group study,low,hard,67.5
188,20,male,b.com,3.98,80.8,yes,9.8,good,coaching,medium,moderate,79.2
189,20,female,b.tech,3.65,47.5,yes,5.9,poor,coaching,high,easy,47.5
190,20,other,b.tech,5.94,63.4,yes,5.2,poor,group study,low,hard,68.5
191,17,male,bca,6.05,93.1,yes,6.8,poor,coaching,high,easy,100
192,24,male,bba,4.15,88.1,yes,9.3,average,coaching,high,moderate,70.3
193,17,female,b.com,4.03,99.4,yes,8.1,good,group study,high,moderate,69.4
194,22,male,b.tech,4,72.9,yes,9,poor,online videos,low,hard,58.6
195,17,male,bca,4.28,83.3,yes,7.4,average,coaching,high,moderate,80.8
196,18,other,ba,0.39,77.8,yes,4.1,average,self-study,low,moderate,50.3
197,22,other,b.com,6.26,75.4,no,9.1,average,coaching,low,hard,86.8
198,24,female,bca,1.98,85,yes,4.5,poor,mixed,low,hard,36.5
199,23,other,diploma,2.03,87.6,yes,7.7,poor,online videos,high,moderate,57.4
200,23,female,b.tech,7.67,69.9,yes,4.7,good,self-study,high,easy,75.7
201,19,female,bca,4.37,61.6,yes,9,poor,mixed,high,moderate,60.1
202,21,other,bca,2.69,57,yes,5,good,mixed,low,easy,49.8
203,23,other,diploma,3.87,55.9,no,7.2,poor,coaching,high,easy,42.6
204,19,female,bba,3.49,70.5,yes,9,average,coaching,medium,moderate,59.1
205,24,female,b.sc,6.84,99.4,yes,8.4,good,self-study,low,moderate,77.7
206,20,female,ba,4.29,59.4,yes,5.9,poor,online videos,low,moderate,29.2
207,23,male,ba,4.86,76.3,yes,6,average,mixed,medium,moderate,73
208,17,female,b.sc,2.1,88.3,no,8.5,good,coaching,medium,easy,89.1
209,22,other,b.tech,7.5,71.1,yes,7.2,poor,mixed,high,easy,76.1
210,19,other,ba,4.62,82.8,yes,5.1,average,coaching,high,easy,65.2
211,21,other,b.com,3.92,74,yes,5.7,good,group study,high,moderate,74.9
212,24,male,bba,2.2,71.4,yes,5.9,poor,coaching,low,moderate,40.4
213,23,male,b.sc,6.84,88.4,yes,6.5,poor,mixed,high,moderate,90.2
214,24,female,diploma,3.64,98.7,yes,9.6,poor,online videos,high,moderate,55.1
215,20,other,ba,7.74,94.1,yes,7.1,poor,mixed,medium,hard,87.2
216,23,female,diploma,6.95,98.3,yes,4.4,poor,online videos,medium,hard,87.9
217,17,other,b.com,5.21,91.2,yes,4.4,average,mixed,medium,moderate,84.8
218,19,other,b.com,6.56,76.1,yes,4.1,good,online videos,low,hard,79.4
219,19,other,b.com,5.08,93.4,yes,4.6,poor,coaching,high,easy,81.3
220,18,female,b.com,1.38,52.1,yes,6.8,poor,self-study,high,moderate,42.5
221,20,male,bca,0.71,55,yes,5.8,average,mixed,high,moderate,28.3
222,17,other,bca,1.04,99.4,yes,7.2,average,group study,medium,easy,43.8
223,17,male,diploma,0.54,45.9,yes,4.6,poor,online videos,medium,easy,23.7
224,18,other,b.tech,1.34,55.2,yes,9.7,good,group study,low,easy,34
225,23,female,bca,7.91,99.4,no,5.5,average,self-study,low,moderate,97.3
226,24,male,b.com,1.44,78,no,8.7,poor,self-study,medium,moderate,45.3
227,18,male,b.sc,6.23,71.1,yes,8.2,average,online videos,high,easy,76.3
228,21,other,b.sc,7.78,52.7,yes,4.1,good,coaching,high,moderate,84.9
229,21,other,bca,3.7,52,yes,9.2,good,coaching,low,easy,67.2
230,23,other,bba,3.86,78.7,yes,4.5,good,online videos,medium,moderate,59.3
231,23,other,diploma,1.37,63,yes,4.1,average,online videos,medium,moderate,21.7
232,17,male,b.com,6.77,93.6,yes,7.5,poor,mixed,low,easy,78.1
233,18,female,bba,1.43,43.6,yes,6,good,coaching,high,hard,45.6
234,17,female,diploma,7.05,41,yes,4.8,good,mixed,high,moderate,74.1
235,17,female,bca,2.69,88.9,yes,7.4,poor,group study,low,moderate,69.6
236,17,female,b.sc,5.56,61.9,yes,5.6,average,self-study,high,moderate,80.9
237,24,male,diploma,0.1,74.4,yes,9.7,poor,coaching,high,moderate,31.3
238,24,male,diploma,3.01,76.8,yes,8.9,good,self-study,medium,moderate,75.2
239,24,male,b.tech,0.51,91.7,yes,8.7,good,group study,low,moderate,43.3
240,17,other,bba,0.35,77.9,yes,4.1,poor,online videos,medium,easy,41.2
241,21,male,b.tech,1.6,80.8,yes,7.3,good,self-study,low,moderate,61.7
242,23,male,bba,7.39,48.1,no,6,poor,group study,low,moderate,68.3
243,24,female,b.com,6.33,97.2,yes,7.4,good,mixed,low,moderate,78.8
244,19,female,b.com,7.19,69.1,yes,8.2,good,group study,high,moderate,79.8
245,18,male,ba,0.23,55.7,no,5.1,good,coaching,low,moderate,38.2
246,24,female,b.sc,6.53,94.8,yes,7.2,good,coaching,low,moderate,81
247,22,male,b.sc,7.6,91.6,yes,8.9,poor,self-study,high,hard,86.3
248,19,female,b.com,7.72,92.1,no,9.5,good,online videos,high,easy,86.8
249,18,other,b.sc,3.93,69.2,yes,9,average,online videos,medium,easy,60.7
250,24,male,bba,1.23,98.7,yes,8.1,poor,group study,low,easy,57.7
251,19,other,bba,5.77,94.7,yes,9,good,coaching,medium,hard,89.3
252,17,female,bca,7.28,83.7,yes,6.3,good,coaching,low,easy,89.4
253,20,male,bca,1.87,72.8,yes,5.2,poor,mixed,low,hard,29.2
254,18,other,bba,2.74,82.1,yes,6.7,average,mixed,medium,easy,48.2
255,23,other,b.com,0.65,83.9,yes,7.9,good,mixed,low,moderate,53.1
256,17,female,bba,4.37,97.3,yes,7.7,average,mixed,high,moderate,73.2
257,21,other,bba,3.29,61.4,yes,9,poor,online videos,medium,easy,49.4
258,18,other,ba,1.34,92.9,yes,8,poor,group study,low,moderate,43.7
259,22,male,ba,6.19,66.8,yes,9.1,good,self-study,low,moderate,74.7
260,18,male,b.sc,5.14,88.6,yes,8.7,poor,mixed,medium,moderate,67.1
261,20,other,b.tech,3.06,89.8,yes,5.2,average,self-study,medium,easy,65.5
262,20,female,ba,7.31,99.1,yes,9.9,poor,online videos,low,moderate,77.2
263,24,female,ba,4.91,79.8,yes,9.4,good,self-study,low,easy,53.5
264,18,male,diploma,4.94,44.7,yes,8.1,poor,self-study,low,moderate,38.8
265,18,female,bba,3.9,90.5,yes,7.5,good,self-study,low,moderate,55.7
266,21,other,bca,4.01,81.7,yes,6.2,good,mixed,low,moderate,66.2
267,23,other,b.tech,7.26,66.4,yes,9.9,average,mixed,low,moderate,85
268,23,male,b.tech,5.73,60.5,yes,5.3,good,self-study,high,moderate,65.1
269,23,other,b.com,6.48,86.7,yes,7.4,poor,mixed,high,easy,77.4
270,17,male,bba,5.4,82.6,yes,9.1,good,coaching,medium,moderate,86.4
271,19,other,bca,2.57,95.3,yes,5.6,average,coaching,medium,hard,60.7
272,22,male,b.sc,2.51,74.5,yes,8.1,good,group study,high,easy,64.4
273,20,other,b.com,0.81,66.6,yes,5,average,group study,low,moderate,48
274,23,male,b.sc,7.13,62.9,yes,9.4,good,online videos,high,easy,91.5
275,18,female,bca,7.8,80,yes,9.3,good,mixed,low,moderate,100
276,20,other,ba,0.58,71.4,yes,5.7,average,coaching,high,moderate,52.7
277,17,male,b.com,2.61,64.6,no,4.5,average,coaching,high,hard,60.5
278,18,other,bba,1.69,73.3,yes,9.7,good,coaching,high,easy,85.9
279,23,male,b.tech,3.29,99.1,yes,5,poor,mixed,high,moderate,59.6
280,17,other,b.com,2.62,48.6,no,7.3,poor,group study,high,easy,42.4
281,23,male,ba,5.01,51.1,yes,4.9,good,group study,low,easy,63
282,23,male,bca,3.56,94.3,no,7.2,poor,group study,high,moderate,74.9
283,17,male,b.tech,3.17,92.6,yes,5,good,mixed,high,easy,79.1
284,23,female,bca,7.19,97.5,yes,7.8,good,coaching,low,moderate,81.2
285,21,other,bba,0.08,43.6,yes,5.5,good,self-study,high,hard,26.4
286,19,other,bba,6.42,70.8,yes,9.5,good,self-study,high,moderate,100
287,24,male,ba,1.01,88.6,yes,5.5,good,coaching,high,moderate,61.6
288,17,female,b.tech,5.61,88.9,yes,7,good,mixed,medium,easy,80.1
289,24,male,b.tech,2.85,77,yes,4.4,average,self-study,medium,moderate,50.5
290,20,other,diploma,1.72,83.9,no,9,poor,self-study,low,moderate,53.1
291,22,male,b.sc,2.78,57.7,yes,8,good,online videos,high,moderate,69.3
292,20,male,b.com,7.63,61.7,yes,4.2,average,coaching,low,moderate,90
293,18,other,b.com,3.48,57.6,yes,6.2,average,coaching,low,moderate,46.6
294,17,other,diploma,5.01,51.7,yes,9,good,self-study,low,moderate,71.8
295,23,male,b.sc,6.91,56.5,yes,4.3,average,group study,high,moderate,70
296,18,female,b.tech,4.13,77,yes,5.9,average,self-study,low,moderate,57.5
297,22,male,b.com,5.86,95.9,yes,7.6,good,online videos,low,easy,67
298,22,female,b.tech,6.67,56.6,yes,8.4,good,online videos,high,easy,79.8
299,19,female,diploma,2.03,89.2,yes,7.9,good,mixed,low,easy,51.9
300,19,male,ba,7.46,56.6,yes,5.8,poor,coaching,high,hard,80.4
301,24,male,bca,0.62,40.9,yes,4.9,good,self-study,medium,moderate,30.5
302,21,female,b.tech,4.33,97.5,yes,5.7,good,online videos,high,moderate,78.1
303,22,male,b.tech,6.19,93.3,yes,8.8,poor,coaching,high,moderate,88.1
304,24,female,ba,4.25,91.1,yes,7.4,average,online videos,high,easy,77.6
305,17,other,b.tech,0.08,76.9,yes,5.9,average,coaching,medium,moderate,42.6
306,24,female,b.com,7.23,61.7,yes,8.6,average,online videos,low,moderate,76.3
307,19,other,b.sc,0.44,94.5,yes,5.2,good,mixed,high,easy,53.4
308,21,female,b.tech,6.86,40.6,yes,4.3,average,group study,low,moderate,56.9
309,18,other,b.com,0.88,46.1,yes,4.1,good,self-study,medium,moderate,29.4
310,19,female,b.com,6.21,89.1,yes,9.9,average,group study,low,easy,73
311,21,male,b.tech,3.62,71.5,yes,6.3,average,group study,medium,easy,55.5
312,22,female,b.tech,4.67,85.5,yes,4.1,poor,online videos,medium,moderate,45.2
313,17,other,b.com,0.84,77.9,yes,7.2,average,self-study,low,easy,23.2
314,19,other,b.com,5.69,70.2,yes,6.2,good,group study,low,hard,69.1
315,17,other,bca,4.99,93.5,yes,8.1,poor,self-study,low,moderate,61
316,23,female,bba,4.64,77.4,yes,9.2,average,online videos,medium,moderate,63.1
317,18,other,b.tech,0.08,50.5,yes,5.8,poor,group study,low,easy,19.599
318,17,other,diploma,7.5,68.5,yes,5.9,good,online videos,low,moderate,75.8
319,17,male,bba,6.29,65.2,yes,9.9,average,group study,medium,moderate,81.5
320,21,other,b.tech,0.28,88.5,yes,4.3,average,group study,medium,moderate,42.6
321,23,male,b.com,4.79,90.6,yes,9.9,poor,mixed,low,moderate,80.7
322,24,male,b.tech,6.14,61.1,yes,5.5,good,mixed,high,moderate,70.6
323,23,female,bca,2.86,97.7,no,6.9,poor,self-study,medium,easy,58.5
324,17,other,b.tech,0.97,81,no,8.9,poor,group study,medium,moderate,48.4
325,24,male,b.sc,6.78,43.2,yes,8.5,poor,mixed,low,moderate,68.5
326,20,male,ba,5.39,90,yes,8.2,average,online videos,medium,moderate,76.4
327,18,male,b.tech,6.26,91.2,no,4.3,average,group study,low,moderate,77.7
328,22,other,b.com,2.56,99.1,no,7.2,average,self-study,medium,moderate,56.4
329,18,female,bca,3.44,97.3,yes,4.6,good,group study,high,easy,69.5
330,21,male,b.tech,0.4,52.2,yes,9.6,good,self-study,low,moderate,50.2
331,24,male,diploma,2.22,78.2,yes,5.5,average,coaching,high,easy,51.8
332,18,female,bba,5.68,83.3,yes,5.3,poor,mixed,high,easy,76.8
333,20,male,diploma,2.76,40.6,yes,9.7,poor,self-study,high,hard,39.9
334,20,male,b.com,4.66,42.3,no,5.6,good,coaching,high,easy,62.7
335,24,other,diploma,2.08,62.1,yes,4.4,average,group study,low,moderate,28.1
336,17,other,b.com,6.88,79.9,yes,9.4,good,online videos,medium,moderate,83.4
337,19,male,diploma,2.98,49.1,yes,6.8,poor,group study,medium,easy,39.9
338,23,male,b.tech,5.11,48.1,yes,7.9,poor,self-study,high,moderate,53.3
339,19,female,b.com,6,60.9,yes,9.7,good,group study,high,easy,66.7
340,21,male,b.com,3.68,73.6,yes,5.2,poor,mixed,low,easy,59.3
341,24,female,bba,1.58,72.2,yes,8.1,average,self-study,high,moderate,56.5
342,18,male,b.com,4.52,82.7,no,7.7,good,coaching,medium,moderate,67.9
343,17,male,b.tech,6.02,65.6,yes,6.4,average,self-study,high,moderate,78.4
